0,project_id,cost,category,votes,name,target,selected
88,404,10000,"education,culture,public space",399,"Miasto moje, a w nim – najpiękniejszy mój sen – spotkania varsavianistyczne dla dorosłych i dzieci","children,youth,adults,seniors,people with disabilities",0
89,170,71000,sport,392,Skwerek berek - rozbudowa placu zabaw o urządzenie dla dzieci starszych,"children,youth,adults",0
90,94,227000,public transit and roads,381,Bezpieczna Makowska,"children,youth,adults,seniors,people with disabilities",0
91,1806,20000,public transit and roads,365,Przejście dla pieszych na ulicy Stanisława Augusta przy numerze 40,"children,youth,adults,seniors,people with disabilities",0
92,628,135000,"education,environmental protection,public space",363,Ścieżki edukacyjne przy Szkole Podstawowej Nr 215,"children,youth,adults,seniors,people with disabilities",0
93,1835,175000,urban greenery,358,Skwerek Berek – Kwiatowa Rozłucka,"adults,seniors,people with disabilities",0
94,1589,658770,"environmental protection,public space,urban greenery",358,"Bezpieczne podwórka dla wszystkich - rewitalizacja podwórek przy ul. Darłowskiej, ul. Grenadierów i ul. Białowieskiej","children,youth,adults,seniors,people with disabilities",0
95,1732,298600,"public space,urban greenery",357,Skwer Trzech Pokoleń,"children,youth,adults,seniors,people with disabilities",0
96,915,1050000,"education,culture,sport",343,Siłownia w Prusie,"children,youth,adults,seniors,people with disabilities",0
97,1960,502800,"education,culture,public space",322,Nowy plac zabaw w Kolorowej Krainie,"children,people with disabilities",0
98,1985,33600,"sport,health",306,Sztuki walki - Judo z elementami samoobrony dla dzieci i młodzieży,"children,youth",0
99,1614,6900,"education,sport,urban greenery",275,Fun Run przygoda z mapą – Praga Południe,"children,youth,adults,seniors,people with disabilities",0
100,1041,4500,"education,culture,environmental protection",269,Bądź eko w każdym wieku - Cykl spotkań warsztatowych dla dorosłych w MAL,"adults,seniors,people with disabilities",0
101,368,38500,"education,culture,welfare",264,Klub Małego Pisarza – całoroczny cykl warsztatów pisarskich dla dzieci,"children,families with children",0
102,1292,122000,education,261,Warsztaty z zakresu bezpieczeństwa dzieci na drodze - niechronionych uczestników ruchu drogowego,"children,youth",0
103,552,81000,"public transit and roads,public space",218,Monitoring ronda Szendzielarza,"children,youth,adults,seniors,people with disabilities",0
104,763,27900,"education,culture,environmental protection",138,Eko-logika. Biblioteka miejscem kształtowania Ekokompetencji,"children,youth,adults,seniors,people with disabilities",0
105,1096,225000,"education,public space",134,Piknik edukacyjny Bezpieczny pieszy - to świadomy pieszy,"children,youth,adults,seniors,people with disabilities",0
106,2048,47400,"education,culture,public space",106,Kuźnia liderów dialogu obywatelskiego- seminaria informacyjno-konsultacyjne,"youth,adults,seniors,people with disabilities",0
